Wall time,Step,Value
1552597128.2202632,0,78.40531158447266
1552597141.838977,1,87.7076416015625
1552597155.5929105,2,90.0332260131836
1552597169.1873288,3,94.35215759277344
1552597182.6967037,4,97.34219360351562
1552597196.128831,5,98.3388671875
1552597209.703541,6,98.754150390625
1552597223.2463343,7,99.3355484008789
1552597236.8246558,8,98.42192840576172
1552597250.1154,9,98.25581359863281
1552597263.563928,10,98.83721160888672
1552597277.2123554,11,99.584716796875
1552597291.1066692,12,98.83721160888672
1552597304.9239993,13,99.91694641113281
1552597318.357434,14,99.66777038574219
1552597331.8110597,15,100.0
1552597345.4235992,16,99.50166320800781
1552597359.0857773,17,99.8338851928711
1552597372.419814,18,99.91694641113281
1552597386.196262,19,99.8338851928711
1552597400.0779352,20,100.0
1552597413.6196206,21,99.8338851928711
1552597427.263626,22,99.91694641113281
1552597440.729643,23,100.0
1552597454.2731586,24,99.25249481201172
1552597467.4948883,25,99.8338851928711
1552597480.8241131,26,99.91694641113281
1552597494.3667052,27,100.0
1552597507.9820464,28,99.8338851928711
1552597521.6242802,29,99.584716796875
1552597535.138554,30,99.8338851928711
1552597548.9223766,31,100.0
1552597562.163612,32,100.0
1552597575.5090759,33,100.0
1552597589.113222,34,99.8338851928711
1552597602.7901514,35,99.8338851928711
1552597616.2679954,36,99.8338851928711
1552597629.727411,37,99.50166320800781
1552597643.297745,38,100.0
1552597656.531812,39,100.0
1552597670.3313127,40,100.0
1552597683.9823465,41,100.0
1552597697.78916,42,100.0
1552597711.5522661,43,99.66777038574219
1552597725.258097,44,99.8338851928711
1552597739.0636714,45,99.91694641113281
1552597752.6128218,46,99.91694641113281
1552597765.8101945,47,99.91694641113281
1552597779.443648,48,100.0
1552597792.8927357,49,100.0
