Wall time,Step,Value
1552441202.1353219,0,42.27574920654297
1552441213.2027884,1,42.44186019897461
1552441229.1140625,2,53.23920440673828
1552441244.4809062,3,60.71428680419922
1552441259.9597893,4,65.11627960205078
1552441272.6003904,5,66.27906799316406
1552441287.964534,6,69.85050201416016
1552441303.0871484,7,72.00996398925781
1552441315.8788998,8,70.93022918701172
1552441328.598922,9,73.0896987915039
1552441341.3600109,10,72.59136199951172
1552441356.9467564,11,73.42192840576172
1552441369.521344,12,72.50830841064453
1552441382.0562077,13,72.50830841064453
1552441397.5440745,14,76.16278839111328
1552441410.2060971,15,76.16278839111328
1552441425.8274117,16,73.9202651977539
1552441438.655345,17,76.4950180053711
1552441454.089096,18,78.07308959960938
1552441466.888208,19,72.59136199951172
1552441479.5588222,20,76.0797348022461
1552441492.278767,21,81.39534759521484
1552441504.8198855,22,81.89368438720703
1552441520.0610387,23,82.39202880859375
1552441532.8725712,24,82.72425079345703
1552441545.58621,25,81.72757720947266
1552441560.9177809,26,81.81063079833984
1552441573.6720817,27,83.22259521484375
1552441586.320156,28,83.13953399658203
1552441599.317195,29,83.13953399658203
1552441611.8294742,30,82.89036560058594
1552441624.5970175,31,82.47508239746094
1552441637.3949084,32,82.80731201171875
1552441649.9228313,33,82.72425079345703
1552441662.738379,34,83.30564880371094
1552441675.532834,35,83.05648040771484
1552441688.1305053,36,83.05648040771484
1552441700.8476648,37,83.38870239257812
1552441713.5677702,38,83.38870239257812
1552441726.3191776,39,82.89036560058594
1552441739.0721292,40,82.97341918945312
1552441751.8110833,41,83.05648040771484
1552441764.3893466,42,83.22258758544922
1552441777.042848,43,83.38870239257812
1552441789.6413386,44,83.38870239257812
1552441802.3675754,45,83.13953399658203
1552441814.7910397,46,83.47176361083984
1552441827.3345418,47,82.64119720458984
1552441840.1332908,48,83.22258758544922
1552441852.6164017,49,84.21926879882812
