Wall time,Step,Value
1554797554.3671105,0,78.40531921386719
1554797576.3846188,1,86.37873840332031
1554797603.5080984,2,88.1229248046875
1554797630.557163,3,93.10631561279297
1554797657.6901073,4,94.85050201416016
1554797685.2094846,5,95.09967041015625
1554797712.110557,6,94.68438720703125
1554797739.0713458,7,98.67109680175781
1554797766.3035417,8,99.584716796875
1554797800.7137306,9,99.16943359375
1554797826.8906045,10,99.50166320800781
1554797860.6475446,11,99.7508316040039
1554797894.7140305,12,100.0
1554797921.7211826,13,95.34883880615234
1554797948.7458017,14,99.66777038574219
1554797976.313998,15,99.66777038574219
1554798003.5559108,16,98.5049819946289
1554798030.02869,17,99.08638000488281
1554798056.8237398,18,99.7508316040039
1554798084.1267908,19,99.66777038574219
1554798111.7822578,20,99.66777038574219
1554798139.5058024,21,99.91694641113281
1554798166.488547,22,100.0
1554798193.832128,23,100.0
1554798219.983059,24,100.0
1554798247.1389678,25,100.0
1554798274.5931973,26,99.91694641113281
1554798301.6141937,27,100.0
1554798328.4706292,28,100.0
1554798355.5064662,29,100.0
1554798382.6434448,30,100.0
1554798409.8446991,31,100.0
1554798437.0565608,32,99.8338851928711
1554798464.2709925,33,100.0
1554798491.4728336,34,100.0
1554798518.7274354,35,100.0
1554798545.8733673,36,100.0
1554798572.8137457,37,100.0
1554798599.8058145,38,100.0
1554798626.8347404,39,100.0
1554798654.0858798,40,100.0
1554798681.1976717,41,99.91694641113281
1554798708.1298351,42,100.0
1554798735.1660466,43,100.0
1554798762.4695177,44,100.0
1554798789.5280573,45,100.0
1554798816.316681,46,100.0
1554798843.43953,47,100.0
1554798870.5501711,48,99.91694641113281
1554798897.7632897,49,100.0
