Wall time,Step,Value
1553895330.5561767,0,60.631229400634766
1553895348.0298755,1,70.59800720214844
1553895367.458982,2,72.92359161376953
1553895385.2619765,3,77.15946960449219
1553895402.9779744,4,76.82723999023438
1553895420.6381345,5,74.4186019897461
1553895438.3081684,6,78.82059478759766
1553895456.0781298,7,80.56478118896484
1553895473.8430648,8,80.56478118896484
1553895491.7817273,9,80.31561279296875
1553895509.52091,10,79.31893920898438
1553895529.262497,11,79.73422241210938
1553895547.4726603,12,79.40199279785156
1553895565.2421794,13,78.90365600585938
1553895583.082081,14,81.72757720947266
1553895600.653404,15,81.14617919921875
1553895618.3493621,16,81.97674560546875
1553895636.397919,17,81.56146240234375
1553895654.2332852,18,80.39867401123047
1553895671.9109294,19,80.31561279296875
1553895689.7909644,20,80.81395721435547
1553895707.4943464,21,81.89368438720703
1553895726.9976745,22,81.22923278808594
1553895746.5281372,23,81.47840881347656
1553895766.2994745,24,81.97674560546875
1553895784.1021802,25,81.64451599121094
1553895801.8669472,26,83.80398559570312
1553895819.506007,27,83.30564880371094
1553895837.0285134,28,82.80731201171875
1553895854.8874626,29,82.97341918945312
1553895872.5119865,30,82.89036560058594
1553895890.2205594,31,82.97341918945312
1553895907.8782291,32,82.64119720458984
1553895925.5126138,33,83.72093200683594
1553895945.0360284,34,83.05648040771484
1553895962.974583,35,83.88703918457031
1553895982.4243994,36,84.55149841308594
1553896000.162853,37,83.80398559570312
1553896018.159288,38,84.05315399169922
1553896036.0485144,39,83.55481719970703
1553896054.0700989,40,84.13621520996094
1553896073.7426858,41,85.13288879394531
1553896091.3883765,42,84.55149841308594
1553896108.95923,43,84.80066680908203
1553896126.8450449,44,84.55149841308594
1553896144.6113045,45,85.21595001220703
1553896162.376839,46,86.2956771850586
1553896180.2249236,47,84.63455200195312
1553896197.7698622,48,85.7973403930664
1553896215.5228984,49,84.80066680908203
